w,pron,fra,spa,hin,deu,jpn,fin,bul,nor,dan,ara,ces,cym,ell,gle,hrv,hun,ita,lat,lit,nld,pol,por,rom,rus,srp,swe,swh,tur,afr
acid,æsid,"acerbe, acide, aigre, astringent",agrio,"तेजाब, HCL is an acid., अम्ल, Irregular meals can give rise to acids in the system.",,酸,"hapan, happo, hapan, hapokas, hapan",киселина,"syre-, sur",,,kyselinový,asid,,"aigéadach, searbh, aigéad","kisela, kiselina, kiseo","sav, savas, savanyú, fanyar","acido, agro","acerbus, acidus, austerus","rūgštis, (šnek.) narkotikas LSD, rūgštus, kandus, aitrus, dygus, (chem.) rūgščių, rūgštus",,,"acerbo, ácido, azedo, adstringente, sarcástico",,,,"syra, sarkastisk",,"asit, ekşi şey, ekşi, asit  niteliğinde, asit fazlalığı olan. acid'ity  ekşilik, ekşime, asidite.",
acknowledge,əknɔlidʒ,"croire, reconnaître, avouer, confirmer","confesar, declarar, confirmar","स्वीकार~करना, He acknowledged his fault.",,"承認, 認める","tunnustaa, tunnustaa, hyväksyä, kuitata, hyväksyä, kiittää","признава́м, потвържда́вам, признателен съм",,,,uznat,cydnabod,,,"dopustiti, nagrada, potvrdi, potvrditi, primiti znanju, priznati",,"confessare, confermare",agnoscere,"pripažinti, patvirtinti, pareikšti, apdovanoti, pažymėti, pareikšti padėką, pažinti",,,"admitir a veracidade de, reconhecer, confessar, professar, confirmar, homologar, ratificar",,,,"erkänna, tackaför, bekänna",,"doğruluğunu kabul etmek, teslim etmek, onaylamak, tasdik etmek, şükranla tanımak, gerçek veya kanuni olduğunu kabul etmek. acknowledgment  teslim, onaylama, tasdik, itiraf, kabul, teşekkür, senet, tasdikname, borç ikrarı.","beken, bekragtig, beseël, bevestig, erken"
a couple,,,,,,,,,,,,pár,,,,,,,,,,,,,,,,,,
acquire,əkwaiər,"acquérir, acheter","alcanzar, consequir, obtener, procurarse, comprar","अर्जन~करना, The company has just acquired a further 10% of the shares.",,"得る, 獲得",hankkia,"постигам, спечелвам, придоби́вам, придоби́я",,,,dosáhnout,,,ceannaigh,"dobiti, dobivati, kupiti, nabaviti, ostvariti, postići, savladati, steći, sticati, stjecati, usvajajti, uzeti, zadobiti",,"comperare, comprare",conciliare,"į(si)gyti, iš(si)ugdyti, išmokti, (spec.) surasti ir sekti objektą (radaru ir pan.)",,,"adquirir, arranjar, obter, comprar",,"покупать, купить",,"förvärva, anskaffa, köpa",,"ele geçirmek, elde etmek, kazanmak, istihsal etmek, tedarik etmek.  acquired  kazanılmış, müktesep. acquired  characteristics doğuştan olmayıp sonradan  kazanılan özellikler.","behaal, verwerf, aankoop, aanskaf, koop"
across,əkrɔs,"en largeur, au‐delà de, outre",contra,"आरपार, I helped the old lady across., उस~पार, We shall leave Delhi today and we should be across in Wagah by night., कोई~एक~दिशा~में, He leaned across to pick up his wallet.",,"向こう, 向こう側, 横切って, 向こう","vaakasuoraan, poikki, yli, kohti, toisella puolella",през,,,,přes,tros,,thar,"kroz, na onoj strani, poprijeko, preko, s druge strane, s one stran, skroz, ukršten, unakrst","túl, keresztben, át, keresztül, odaát",attraverso,,"skersai, anapus, į kitą pusę, už, kryžmai, per, skersai",over,,"transversalmente, além de, através de, do outro lado de, para lá de",,поперёк,преко,"emot, inemot, mot",,"(edat.) ortasından, iSinden  veya üstünden karşı tarafa geçerek, (edat.)  çaprazvari, öbür tarafa, karşı yakada. come  across rast gelmek, tesadüf etmek, (k.dili.)  görünmek. come across with (k.dili.) istemeyerek  vermek.",dwarsdeur
act,ækt,"agir, opérer, action, faire l'acteur, jouer, acte, être efficace, construire, fabriquer, faire, poser, influer, procéder","acta, certificado, cometer, fabricar, hacer, perpetrar, acción, influiren","काम~करना, Many people can speak but only few can act., अभिनय~करना, She has acted in low budget movies.",,"行為, 行動, 幕, 法令","toimia, teeskennellä, tehdä, toimia, vaikuttaa, näytellä","държа, постъ́пвам, постъ́пя, въ́рша, пра́вя, възде́йствам, игра́я, де́йствам",,,,jednání,actio,,"déanamh, déantús","akt, djelati, djelo, djelovati, dokument, dokumentu, glumiti, igrati, nastupati, obavljati, postavljanj, postavljanje, postupak, postupati, raditi, radnja, ukaz, uredba, zakon, zakonom, čin, činiti, činjenice","cselekvés, törvény, cselekmény, tett, cselekedet, felvonás","agire, azione, atto, documento, commettere, fare","agere, actio, actum, facere, factum","veiksmas, veikimas, aktas, poelgis, pasielgimas, (pjesės) veiksmas, vaidinimas, dokumentas, aktas, įstatymas, nutarimas, veikti, elgtis, vaidinti, (pa)veikti, daryti poveikį (apie vaistus ir pan., on), atstovauti (for), veikti kieno vardu (t.p. act on smb's behalf)",,,"ato, ação, façanha, feito, obra, auto, escritura, instrumento, agir, obrar, proceder, funcionar como ator, atuar, produzir efeito, ser eficaz, fazer, formar, executar, influenciar",,"акт, делать, сделать",,"gärning, handling, aktstycke, göra, dåd, påverka, processa",,"rol yapmak, oynamak, taklit etmek, yapmak, işlemek, etkilemek, tesir etmek, hareket etmek, davranmak, temsil etmek, rolünü oynamak. act up yaramazlık etmek, gösteriş yapmak. act as başkasının vazifesini  yapmak. act on a suggestion yapılan  teklife göre davranmak.",amnestie
action,ækʃən,"activité, action, bataille, combat, empire, influence, procès","acción, batalla, proceso","क्रिया, To every action there is an equal and opposite reaction., कार्यवाही{कानूनी}, The government took action against the anti-national group.",,"訴訟, 交戦, 戦闘, 行動, 動作","säpinä, toiminta, kanne, koneisto, mekanismi, taistelu, toiminta, akti, teko, toiminta, toimenpide, toimi, liike","екшън, иск, механизъм, бой, сраже́ние, де́йност, де́йствие, движение",,,,děj,gweithred,,,"akcija, aktivnost, bitka, boj, dejstvo, djejstvo, djelatnost, djelo, djelovanje, djelovanjem, hod stroja, istup, postupak, rad, radnja, stroj, sudski postupak, tužba, čin","közbelépés, rendelkezés, hadmûvelet, tett, hatás, harctevékenység, bevetés, taglejtés, behatás, tevékenység, szerkezet, óramû, járás, akció, ténykedés, mûvelet, cselekmény, részvény, mozgás, mozdulat, játék, mûködés, történés, intézkedés, eljárás, támadás, cselekedet, cselekvés, mechanizmus","azione, battaglia, processo","actio, actum, proelium, pugna, factum, causa","veiksmas, poelgis, pasielgimas, žygis, elgesys, veiksmai, veikimas, poveikis, (polit.) akcija, veikla, darbas, mechanizmo veikimas, (teis.) kaltinimas, ieškinys, teismo procesas, kova, mūšis",,,"ação, atividade, batalha, combate, luta, peleja, pugna, façanha, feito, obra, influência, pleito, processo",,"акт, битва, бой, борьба",,"gärning, handling, batalj, kamp, slag, slagsmål, strid, dåd, rättegång",,"iş, amel, çalışma, meşguliyet, faaliyet, fiil, (huk.)uk davası, etki, tesir, kuvvet, nüfuz, (tiyatro) bir oyundaki olaylar dizisi, harekete geçme (asker, makina v.b.) actionable   dava edilebilir.","aksie, daad, geveg, meganisme, proses"
active,æktiv,"actif, agissant, laborieux","activo, laborioso","सक्रिय, He is taking an active interest in Indian politics.",,"ぴちぴち, ぴんぴん, 活発, 活躍, 能動的, 積極的, 活動的, 能動的, 能動, すばしっこい","eloisa, reipas, toimelias, aktiivinen, aktiivinen, voimassa oleva, aktiivinen, aktiivi-","енерги́чен, акти́вен, де́ятелен, акти́вен, де́ен, акти́вен, де́йстващ, акти́вен, де́ятелен, действи́телен, акти́вен, енерги́чен",aktiv,,,čilý,gweithredol,,,"aktivan, aktive, aktivni, aktivnima, aktivno, aktivnog, djelatan, energičan, pokretljivi, pravi, radan, stvaran, vrijedan, zaposlen, živ","élénk, tevékeny, aktív, cselekvô, ható, hatékony","attivo, operoso, laborioso",,"aktyvus, veiklus, energingas, gyvas, veikiantis",,,"ativo, agencioso, diligente, laborioso, operoso, trabalhador",activ,активный,,aktiv,,"hareket kuvveti olan, etkin, değiştirebilen, fail, faal, çalışkan, pratik, hareketli, canlı, yerinde duramayan, çevik, (gram) etken, aktif, (tic.) faiz getiren, paraya çabuk çevrilebilen (sermaye) active officer muvazzaf subay. active volcano aktif durumda olan yanardağ.","bedrywig, aktief, arbeidsaam"
actively,/ˈæktɪvli/,,,"सक्रिय~रूप~से, We actively participated in the social service.",,,"aktiivisesti, vilkkaasti, aktiivisesti",,,,,aktivně,,,,aktivno,,,,,,,ativamente,,,,,,,
activity,æktivitiː,"activité, besoin d'activité, occupation, vigueur",acción,"क्रिया-कलाप, Some schools do not give weightage to extracurricular activities.",,"アクティビティー, 活動, 活躍, 活動","aktiviteetti, tekeminen, toiminta, toiminta, aktiivisuus","де́йност, активност, акти́вност, акти́вност, активност",,,,činnost,gweithgaredd,,,"aktivnost, djelatnost, djelatnosti, djelovanja, djelovanje, energičan rad, poduzetnost, preduzimljivos","aktivitás, elfoglaltság, ténykedés, tevékenység",occupazione,,"aktyvumas, veiklumas, gyvumas, energija, veikla, darbas",,,"ação, atividade",,активность,,,,"faaliyet, fiil, amel, kuvvet, etki, tesir, faal oluş, tez canlılık, tetiklik.","aksie, bedrywigheid, aktiwiteit, arbeidsaamheid, besigheid, animo"
actor,æktər,acteur,actor,"अभिनेता, Ram is a good actor.",,"役者, 俳優, 演技者, 女優","tekijä, toimija, tekijä, näyttelijä","извърши́тел, участник, актри́са, актьо́р, арти́ст, арти́стка",,,,aktor,actor,,aisteoir,"glumac, tužitelj, učesnik",színész,attore,"actor, mimus","aktorius, (dramos, kino) artistas, (įvykio) dalyvis, veikėjas, veikiantysis asmuo, (gram.) veikėjas, agentas",,,"ator, artista, comediante",actor,актёр,глумац,aktör,,"artist, aktör, oyuncu, yapan  kimse.",akteur
actress,æktris,actrice,actriz,"अभिनेत्री, Shabana Azmi is a very good actress.",,女優,"näyttelijätär, näyttelijä","актри́са, арти́стка, актриса",,,,herečka,actores,,ban-aisteoir,glumica,színésznô,attrice,mima,"aktorė, (dramos, kino) artistė",,,atriz,,актриса,глумица,"aktris, skådespelerska",,"artist, aktris, kadın oyuncu.",aktrise
actual,æktʃeəl,"effectif, réel",,"वास्तविक, The actual cost of ring was much higher than we had expected.",,"現実, 実際","suoranainen, todellinen, tosiasiallinen, todellinen, ajankohtainen, nykyinen, tämänhetkinen","действи́телен, действи́телен, реа́лен, реа́лен, актуа́лен, сегашен","virkelig, faktisk, reell",,,aktuální,,,,"actualno, aktualni, efektivni, faktičan, prav, pravi, stvaran, stvarni, stvarni ključ, stvarno, suvremen","valódi, folyamatban levô, valóságos, tényleges",reale,,"faktinis, tikras(is), dabartinis, dabar esantis",,,"efetivo, real, verdadeiro, atual, hodierno",,,,"faktisk, real, reell",,"gerçek, hakiki, asli, asıl, fiili, şimdiki. actual'ity  hakikat ac'tualize  gerçekleştirmek, hakiki kılmak, kuvveden fiile çIkarmak. actually  hakikatte, gerçekten, bilfiil.","effektief, huidig"
actually,ætʃəliː,en réalité,enefecto,"वास्तव~में, वस्तुत:, He is actually my best friend.",,"実は, 実際に, 本当","oikeastaan, itse asiassa, varsinaisesti","в действителност, всъщност","for øyeblikket, reelt sett",,,doopravdy,,,,"de facto, doista, stvarno, u pravi čas, u stvari, u stvarnosti, zaista",valójában,di fatto,,"iš tikrųjų, tikrai, faktiškai, tiesą sakant, tarp kitko, net, nors ir keista",,,"realmente, verdadeiramente, na verdade, de fato",,,,,,,sowaar
ad,əd,"annonce, publicité, réclame",anuncio,,,,,,,,,reklama,,,"fógra, fógraíocht","do, oglas",hirdetés,"annuncio, avviso, inserzione",,,,,"anúncio, reclamo, publicidade",,анонс,оглас,"anmälan, annons, avi, meddelande, reklam",,"A.D. AD (kıs.) Anno Domini milâttan sonra. ad  ilan, reklam.","aandiening, aankondiging, advertensie"
adapt,ədæpt,"adapter, s'adapter, s'ajuster","acomodar, adaptar","अनुकूल बनाना, Some machines have been specially adapted for use under water., के लिऐ रूपांतरित करना, This novel has been adapted for radio.",,適合,sopiva,подходящ,tilpasse,,,upravit,cymoni,,,"adaptirati, podesiti, preraditi, preudesiti, prilagoditi",,"adattare, aggiustare",,"pri(si)taikyti, adaptuoti, perdirbti sutrumpinant ir suprastinant",,,"adaptar, acomodar, ajeitar, ajustar, adaptar-se",,,,,,"bir şeye uydurmak, uyarlamak, (edeb.) adapte etmek. adapt oneself uymak, intibak etmek, tabi olmak. adaptable   uysal, şartlara uyan, intibak edebilen adapter   adaptör, intibak eden ve ettiren şey veya  kimse.","aanpas, adapteer"
add,ədd,"additionner, ajouter, adjoindre, joindre",sumar,"जोड़ना, If 2 is added to 3 we get 5., He added another remark to his earlier one., बढाना, Girish's irresponsible behavious adds to my worries., मिलाना, When we add water to the paste we get a drink.",,"加える, 追加, 足す","lisätä, laskea yhteen, summata","добавям, прибавям, разширявам, прибавям, сумирам","legge til, addere",,,přidat,ychwanegu,,suimigh,"dodaje, dodati, dodavali, doliti, dopuniti, nadovezati, povećati, pridodati, sabrati, zbrojiti",,aggiungere,"accensere, accommodare","pridėti, sudėti, pridurti, prijungti",,,"adicionar, somar, acrescentar, ajuntar","a adăuga, adăugare",,,"addera, summera, bifoga",,"katmak, ilâve etmek, eklemek, zammetmek, toplamak. adder  toplayan  şey veya kimse. add up toplamak, yekun  çıkarmak, neticelenmek, (k.dili.) anlaşılmak, belli olmak.","byvoeg, toevoeg, aanbou"
addition,ədiʃən,"addition, appendice",apéndice,"जोड़, Addition has essentially been taught for ages., जोड़ी~गई~वस्तु, This equipment is the latest addition to our office., जोड़ने~की~क्रिया, The houses have been improved by the addition of windows.",,"付加, 追加, 足し算, 添加, 建て増し","lisäys, additio, yhteenlasku, lisäys, yhteenlaskettava, lisäys","прибавяне, събиране, доба́вка, приба́вка","tillegg, addisjon, pluss",,,přírůstek,,,,"dodatak, dodatni, dodavanje, dopuna, povećanje, sabiranje, suma, uvećana, uz, zbir, zbrajanje, zbroj",összeadás,,,"pridėjimas, papildymas, priedas, (amer.) priestatas, ( mat.) sudėtis, (chem.) priemaiša",,,"adição, soma, acréscimo, emenda, suplemento",,,,addition,,"ilave, ilave edilmiş şey, (mat.) toplama in addition to (-e) ilâveten, ayrıca, fazla olarak. additional  biraz daha, ilâve edilen, eklenilen.",bylae
