id,en,zh,py,vi,vi2
226,I will be more careful.,我会小心一些的。,Wǒ huì xiǎoxīn yīxiē de.,Tôi sẽ cẩn thận.,ta sẽ cẩn thận một ít .
227,I will never forget it.,我会记着的。,Wǒ huì jìzhe de.,Tôi sẽ nhớ.,ta lại nhớ kỹ .
228,It is Just what I need.,这正是我所需要的。,Zhè zhèng shì wǒ suǒ xūyào de.,Đây chính xác là những gì tôi cần.,đây chính là ta cần có .
229,It rather surprised me.,那事使我颇感惊讶。,Nà shì shǐ wǒ pō gǎnjīngyà.,Điều đó làm tôi ngạc nhiên.,chuyện này khiến cho ta cảm thấy kinh ngạc .
230,Just around the comer.,就在附近。,Jiù zài fùjìn.,gần đó.,liền tại phụ cận .
231,Just for entertainment.,只是为了消遣一下。,Zhǐshì wèile xiāoqiǎn yīxià.,Chỉ để dán nó.,chỉ là vì tiêu khiển một chút .
232,Let bygones be bygones.,过去的，就让它过去吧。,"Guòqù de, jiù ràng tā guòqù ba.","Trong quá khứ, hãy để nó vượt qua.","đi qua , hãy để cho nó qua đi ."
233,Mother doesn't make up.,妈妈不化妆。,Māmā bù huàzhuāng.,Mẹ không trang điểm.,mama không hóa trang .
234,Oh，you are kidding me.,哦，你别拿我开玩笑了。,"Ó, nǐ bié ná wǒ kāiwánxiàole.","Ồ, đừng nói đùa với tôi.","a , ngươi đừng bắt ta nói giỡn ."
235,She has been to school.,她上学去了。,Tā shàngxué qùle.,Cô ấy đã đi học.,nàng đi học đi .
236,Skating is interesting.,滑冰很有趣。,Huábīng hěn yǒuqù.,Trượt băng là thú vị.,trượt băng rất thú vị .
237,Supper is ready at six.,晚餐六点钟就好了。,Wǎncān liù diǎn zhōng jiù hǎole.,Sáu giờ trong bữa tối.,bữa tối sáu giờ liền tốt .
238,That's a terrific idea!,真是好主意!,Zhēnshi hǎo zhǔyì!,Thật là một ý kiến ​​hay!,thực sự là ý kiến hay !
239,What horrible weather!,这鬼天气!,Zhè guǐ tiānqì!,Thời tiết ma này!,cái thời tiết mắc toi này !
240,Which would you prefer?,你要选哪个?,Nǐ yào xuǎn nǎge?,Bạn muốn chọn cái nào?,ngươi muốn chọn cái nào ?
241,Does she like ice-cream?,她喜欢吃冰淇淋吗?,Tā xǐhuān chī bīngqílín ma?,Cô ấy có thích ăn kem không?,nàng thích ăn kem không ?
242,First come first served.,先到先得。,Xiān dào xiān dé.,Nhận đầu tiên.,tới trước được trước .
243,Great minds think alike.,英雄所见略同。,Yīngxióng suǒjiàn lüè tóng.,Các anh hùng cũng thấy như vậy.,anh hùng sở kiến lược đồng .
244,He has a sense of humor.,他有幽默感。,Tā yǒu yōumò gǎn.,Anh ấy có khiếu hài hước.,hắn có hài hước cảm giác .
245,He is acting an old man.,他正扮演一个老人。,Tā zhèng bànyǎn yīgè lǎorén.,Anh ta đang chơi một ông già.,hắn chính sắm vai một lão nhân .
246,He is looking for a job.,他正在找工作。,Tā zhèngzài zhǎo gōngzuò.,Anh ấy đang tìm kiếm một công việc.,hắn đang tìm việc làm .
247,He doesn't care about me.,他并不在乎我。,Tā bìng bùzàihū wǒ.,Anh ấy không quan tâm đến tôi.,hắn tịnh không để ý ta .
248,I develop films myself.,我自己冲洗照片。,Wǒ zìjǐ chōngxǐ zhàopiàn.,Tôi tự rửa những bức ảnh.,ta tự mình cọ rửa bức ảnh .
249,I felt no regret for it.,对这件事我不觉得后悔。,Duì zhè jiàn shì wǒ bù juédé hòuhuǐ.,Tôi không cảm thấy hối tiếc về điều này.,đối với chuyện này ta chưa phát hiện được hối hận .
250,I get up at six o'clock.,我六点起床。,Wǒ liù diǎn qǐchuáng.,Tôi thức dậy lúc sáu giờ.,ta sáu giờ rời giường .
251,I meet the boss himself.,我见到了老板本人。,Wǒ jiàn dàole lǎobǎn běnrén.,Tôi thấy ông chủ.,ta gặp được ông chủ bản thân .
252,I owe you for my dinner.,我欠你晚餐的钱。,Wǒ qiàn nǐ wǎncān de qián.,Tôi nợ bạn ăn tối.,ta thiếu ngươi bữa tối tiền .
253,I really enjoyed myself.,我玩得很开心。,Wǒ wán dé hěn kāixīn.,Tôi đã chơi rất hạnh phúc.,ta chơi đến rất vui vẻ .
254,I'm fed up with my work!,我对工作烦死了!,Wǒ duì gōngzuò fán sǐle!,Tôi cảm thấy khó chịu vì công việc!,ta hợp làm phiền chết !
255,It's no use complaining.,发牢骚没什么用。,Fā láosāo méishénme yòng.,Khiếu nại là vô dụng.,"càu nhàu không có tác dụng gì, ."
256,She's under the weather.,她心情不好。,Tā xīnqíng bù hǎo.,Cô ấy đang ở trong một tâm trạng tồi tệ.,nàng tâm tình không tốt .
257,The child sobbed sadly.,小孩伤心地抽泣着。,Xiǎohái shāngxīn dì chōuqìzhe.,Đứa trẻ nức nở buồn bã.,trẻ con thương tâm nức nở .
258,The rumor had no basis.,那谣言没有根据。,Nà yáoyán méiyǒu gēnjù.,Tin đồn đó không dựa trên.,vậy lời đồn không có căn cứ .
259,They praised him highly.,他们大大地表扬了他。,Tāmen dàdà dì biǎoyángle tā.,Họ khen ngợi anh ấy rất nhiều.,bọn họ thật to biểu dương hắn .
260,Winter is a cold season.,冬天是一个寒冷的季节。,Dōngtiān shì yīgè hánlěng de jìjié.,Mùa đông là mùa lạnh.,mùa đông là một rét lạnh mùa .
261,You can call me any time.,你可以随时打电话给我。,Nǐ kěyǐ suíshí dǎ diànhuà gěi wǒ.,Bạn có thể gọi cho tôi bất cứ lúc nào.,ngươi có thể tùy thời gọi điện thoại cho ta .
262,15 divided by 3 equals 5.,15除以3等于5。,15 Chú yǐ 3 děngyú 5.,15 ngoại trừ 3 bằng 5.,15 chia cho 3 tương đương 5.
263,All for one，one for all.,我为人人，人人为我。,"Wǒ wéi rén rén, rén rén wéi wǒ.","Tôi là tất cả mọi người, mọi người đều là tôi.","mình vì mọi người , mọi người vì mình ."
264,"East, west, home is best.",金窝，银窝，不如自己的草窝。,"Jīn wō, yín wō, bùrú zìjǐ de cǎo wō.","Golden Nest, Yinwo, không tốt bằng tổ cỏ của bạn.","ổ vàng , ổ bạc , không bằng tự mình cỏ ổ ."
265,He grasped both my hands.,他紧握住我的双手。,Tā jǐn wò zhù wǒ de shuāng shǒu.,Anh nắm chặt tay tôi.,hắn cầm chặt hai tay của ta .
266,He is physically mature.,他身体己发育成熟。,Tā shēntǐ jǐ fāyù chéngshú.,Anh ấy có một cơ thể trưởng thành.,hắn cơ thể mình dậy thì thành thục .
267,I am so sorry about this.,对此我非常抱歉 (遗憾)。,Duì cǐ wǒ fēicháng bàoqiàn (yíhàn).,Tôi rất xin lỗi vì điều này (hối tiếc).,đối với cái này ta rất thật có lỗi ( tiếc nuối ).
268,I can't afford a new car.,我买不起一部新车。,Wǒ mǎi bù qǐ yī bù xīnchē.,Tôi không đủ khả năng mua một chiếc xe mới.,ta mua không nổi một bộ xe mới .
269,I do want to see him now.,我现在确实很想去见他。,Wǒ xiànzài quèshí hěn xiǎng qù jiàn tā.,Tôi thực sự muốn gặp anh ấy bây giờ.,ta bây giờ quả thực rất muốn đi gặp hắn .
270,I have the right to know.,我有权知道。,Wǒ yǒu quán zhīdào.,Tôi có quyền biết.,ta có quyền hiểu rõ .
271,I heard some one laughing.,我听见有人在笑。,Wǒ tīngjiàn yǒurén zài xiào.,Tôi nghe thấy ai đó cười.,ta nghe thấy có người đang cười .
272,I suppose you dance much.,我想你常常跳舞吧。,Wǒ xiǎng nǐ chángcháng tiàowǔ ba.,Tôi nghĩ rằng bạn thường nhảy.,ta nhớ ngươi thường thường nhảy múa đi .
273,I walked across the park.,我穿过了公园。,Wǒ chuānguòle gōngyuán.,Tôi đi qua công viên.,ta xuyên qua công viên .
274,I'll just play it by ear.,我到时随机应变。,Wǒ dào shí suíjīyìngbiàn.,Tôi sẽ trả lời ngẫu nhiên.,ta đến lúc đó tùy cơ ứng biến .
275,I'm not sure I can do it.,恐怕这事我干不了。,Kǒngpà zhè shì wǒ gàn bùliǎo.,Tôi e rằng tôi không thể làm điều này.,chỉ sợ việc này ta không làm được .
276,I'm not used to drinking.,我不习惯喝酒。,Wǒ bù xíguàn hējiǔ.,Tôi không quen uống.,ta không quen uống rượu .
277,Is the cut still painful?,伤口还在痛吗?,Shāngkǒu hái zài tòng ma?,Vết thương vẫn còn đau?,vết thương còn đang ở đau nhức không ?
278,It's too good to be true!,好得难以置信。,Hǎo dé nányǐ zhìxìn.,Thật không thể tin được.,tốt khó mà đưa tin .
279,Jean is a blue-eyed girl.,珍是个蓝眼睛的女孩。,Zhēn shìgè lán yǎnjīng de nǚhái.,Zhen là một cô gái màu xanh.,trân là mắt xanh cô gái .
280,Let's not waste our time.,咱们别浪费时间了。,Zánmen bié làngfèi shíjiānle.,Đừng lãng phí thời gian.,chúng ta đừng lãng phí thời gian .
281,May I ask some questions?,我可以问几个问题吗?,Wǒ kěyǐ wèn jǐ gè wèntí ma?,Tôi có thể hỏi một vài câu hỏi không?,ta có thể hỏi mấy cái vấn đề không ?
282,Money is not everything.,金钱不是一切。,Jīnqián bùshì yīqiè.,Tiền không phải là tất cả.,tiền tài không phải tất cả .
283,Neither of the men spoke.,两个人都没说过话。,Liǎng gèrén dōu méi shuōguòhuà.,Không ai trong số hai người đã nói.,hai người đều chưa hề nói chuyện .
284,Stop making such a noise.,别吵了。,Bié chǎole.,dừng đánh.,chớ ồn ào .
285,That makes no difference.,没什么区别。,Méishénme qūbié.,Không có sự khác biệt.,không có gì khác biệt .
286,The price is reasonable.,价格还算合理。,Jiàgé hái suàn hélǐ.,Giá cả là hợp lý.,giá cả coi như hợp lý .
287,They crowned him king.,他们拥立他为国王。,Tāmen yōnglì tā wèi guówáng.,Họ ôm lấy anh như nhà vua.,bọn họ ủng lập hắn là quốc vương .
288,They're in red and white.,他们穿着红白相间的衣服。,Tāmen chuānzhuó hóngbái xiàng jiān de yīfú.,Họ đang mặc quần áo màu đỏ và trắng.,bọn họ mặc đỏ trắng giao nhau trang phục .
289,We all desire happiness.,我们都想要幸福。,Wǒmen dōu xiǎng yào xìngfú.,Tất cả chúng ta đều muốn được hạnh phúc.,chúng ta đều muốn hạnh phúc .
290,We just caught the plane.,我们刚好赶上了飞机。,Wǒmen gānghǎo gǎn shàngle fēijī.,Chúng tôi chỉ bắt kịp với máy bay.,chúng ta vừa vặn đuổi kịp máy bay .
291,What shall we do tonight?,我们今天晚上去干点儿什么呢?,Wǒmen jīntiān wǎnshàngqù gàn diǎn er shénme ne?,Chúng ta phải làm gì tối nay?,chúng ta buổi tối hôm nay đi làm chút gì đâu ?
292,What's your goal in life.,你的人生目标是什么?,Nǐ de rénshēng mùbiāo shì shénme?,Mục tiêu cuộc sống của bạn là gì?,nhân sinh của ngươi mục tiêu là gì ?
293,When was the house built?,这幢房子是什么时候建造的?,Zhè chuáng fángzi shì shénme shíhòu jiànzào de?,Ngôi nhà này được xây dựng khi nào?,toàn nhà này là lúc nào kiến tạo ?
294,Why did you stay at home?,为什么呆在家里?,Wèishéme dāi zàijiālǐ?,Tại sao lại ở nhà?,vì sao ở lại nhà ?
295,You look beautiful today!,你今天真漂亮!,Nǐ jīntiān zhēn piàoliang!,Hôm nay bạn thật đẹp!,ngươi hôm nay thật xinh đẹp !
296,You mustn't aim too high.,你不可好高骛远。,Nǐ bùkě hàogāowùyuǎn.,Bạn không thể tốt.,ngươi không được mơ tưởng xa vời .
297,You're really killing me!,真是笑死我了!,Zhēnshi xiào sǐ wǒle!,Tôi thực sự cười nhạo tôi!,thực sự là cười chết ta !
298,You've got a point there.,你说得挺有道理的。,Nǐ shuō dé tǐng yǒu dàolǐ de.,Bạn có ý nghĩa.,ngươi nói thật có đạo lý .
299,Being criticized is awful!,被人批评真是痛苦!,Bèi rén pīpíng zhēnshi tòngkǔ!,Thật đau đớn khi bị chỉ trích!,bị người phê bình thực sự là đau khổ !
300,Did you enter the contest?,你参加比赛了吗?,Nǐ cānjiā bǐsàile ma?,Bạn đã tham gia cuộc thi chưa?,ngươi tham gia trận đấu không ?
301,Do you accept credit cards?,你们收信用卡吗?,Nǐmen shōu xìnyòngkǎ ma?,Bạn có chấp nhận thẻ tín dụng?,mấy người thu thẻ tín dụng không ?
302,Don't cry over spilt milk.,不要做无益的后悔。,Bùyào zuò wúyì de hòuhuǐ.,Đừng hối tiếc một cách bất thường.,đừng có làm vô ích hối hận .
303,Don't let chances pass by.,不要让机遇从我们身边溜走。,Bùyào ràng jīyù cóng wǒmen shēnbiān liū zǒu.,Đừng để cơ hội rời xa chúng tôi.,đừng có khiến kỳ ngộ theo chúng ta bên cạnh chạy đi .
304,He owned himself defeated.,他承认自己失败了。,Tā chéngrèn zìjǐ shībàile.,Anh thừa nhận rằng anh đã thất bại.,hắn thừa nhận tự mình thất bại .
305,He seems at little nervous.,他显得有点紧张。,Tā xiǎndé yǒudiǎn jǐnzhāng.,Anh ta có vẻ hơi lo lắng.,hắn có vẻ có chút căng thẳng .
306,He strolls about the town.,他在镇上四处遛达。,Tā zài zhèn shàng sìchù liù dá.,Anh ấy ở quanh thị trấn.,hắn ở đây trấn trên bốn phía lưu đạt .
307,Her tooth ached all night.,她牙疼了一整夜。,Tā yá téngle yī zhěng yè.,Cô đã bị đau răng cả đêm.,nàng đau răng suốt cả đêm .
308,How about a drink tonight?,今晚喝一杯怎样?,Jīn wǎn hè yībēi zěnyàng?,Làm thế nào về việc uống một cốc tối nay?,tối nay uống một chén thế nào ?
309,I can do nothing but that.,我只会做那件事。,Wǒ zhǐ huì zuò nà jiàn shì.,Tôi chỉ làm điều đó.,ta sẽ chỉ làm sự kiện kia .
310,I get hold of you at last.,我终于找到你了。,Wǒ zhōngyú zhǎodào nǐle.,Cuôi cung tôi đa tim thây bạn.,ta rốt cuộc tìm được ngươi .
311,I have a surprise for you.,我有一个意想不到的东西给你看。,Wǒ yǒuyīgè yì xiǎngbùdào de dōngxī gěi nǐ kàn.,Tôi có một điều bất ngờ cho bạn.,ta có một không tưởng tượng được gì đó cho ngươi xem .
312,I like all kinds of fruit.,我喜欢各种各样的水果。,Wǒ xǐhuān gèzhǒng gè yàng de shuǐguǒ.,Tôi thích tất cả các loại trái cây.,ta thích đủ loại hoa quả .
313,I saw it with my own eyes.,我亲眼所见。,Wǒ qīnyǎn suǒjiàn.,Tôi đã nhìn thấy nó bằng chính mắt mình.,ta tận mắt chỗ thấy .
314,I will arrange everything.,我会安排一切的。,Wǒ huì ānpái yīqiè de.,Tôi sẽ sắp xếp mọi thứ.,ta lại sắp đặt tất cả .
315,I wish I knew my neighbor.,我很想认识我的邻居。,Wǒ hěn xiǎng rènshí wǒ de línjū.,Tôi thực sự muốn biết hàng xóm của tôi.,ta vô cùng nghĩ nhận thức ta hàng xóm .
316,I would like to check out.,我想结帐。,Wǒ xiǎng jié zhàng.,Tôi muốn kiểm tra.,ta nghĩ tính tiền .
317,It has be come much cooler.,天气变得凉爽多了。,Tiānqì biàn dé liángshuǎng duōle.,Thời tiết trở nên mát mẻ.,thiên khí thay đổi mát mẻ nhiều .
318,It's time you went to bed.,你早就该睡觉了。,Nǐ zǎo jiù gāi shuìjiàole.,Bạn nên ngủ từ lâu.,ngươi sớm nên đi ngủ .
319,No spitting on the street.,禁止在大街上吐痰。,Jìnzhǐ zài dàjiē shàng tǔ tán.,Cấm nước nhổ trên đường phố.,cấm chỉ đang trên đường cái nôn đàm .
320,She was totally exhausted.,她累垮了。,Tā lèi kuǎle.,Cô đã kiệt sức.,nàng mệt mỏi sụp đổ .
321,Show your tickets，please.,请出示你的票。,Qǐng chūshì nǐ de piào.,Xin vui lòng vé của bạn.,xin lấy ra ngươi phiếu .
322,Thank you for your advice.,谢谢你的建议。,Xièxiè nǐ de jiànyì.,Cảm ơn lời khuyên của bạn.,cám ơn ngươi đề nghị .
323,That's the latest fashion.,这是最流行的款式。,Zhè shì zuì liúxíng de kuǎnshì.,Đây là phong cách phổ biến nhất.,đây là lưu hành nhất kiểu dáng .
324,The train arrived on time.,火车准时到达。,Huǒchē zhǔnshí dàodá.,Tàu đến đúng giờ.,xe lửa đến đúng giờ .
325,There go the house lights.,剧院的灯光灭了。,Jùyuàn de dēngguāng mièle.,Ánh sáng của nhà hát đã bị dập tắt.,rạp hát ánh đèn diệt .
326,They are paid by the hour.,他们按时取酬。,Tāmen àn shí qǔ chóu.,Họ trả tiền đúng hạn.,bọn họ đúng hạn lấy thù .
327,Things are getting better.,情况正在好转。,Qíngkuàng zhèngzài hǎozhuǎn.,Tình hình đang trở nên tốt hơn.,tình huống đang chuyển biến tốt đẹp .
328,Wake me up at five thirty.,请在五点半叫醒我。,Qǐng zài wǔ diǎn bàn jiào xǐng wǒ.,Xin hãy đánh thức tôi lúc 5:30.,mời đang năm giờ rưỡi đánh thức ta .
329,We are all busy with work.,我们都忙于工作。,Wǒmen dōu mángyú gōngzuò.,Tất cả chúng tôi đang bận rộn làm việc.,chúng ta đều bề bộn nhiều việc công việc .
