id,zh,py,en,vi,HSK,s1zh,s1py,s1en,s1vi
135,椅子,yǐ zi,chair,cái ghế,1,两把椅子坐起来都不舒服。,liǎng bǎ yǐzi zuò qilai dōu bùshūfu,Neither chair is comfortable.,hai cái ghế ngồi dậy đến đều không thoải mái .
136,有,yǒu,"to have, there is, there are, to exist, to be",có,1,我有许多唱片。,wǒ yǒu xǔduō chàngpiàn,I have many discs.,ta có thật nhiều đĩa nhạc .
137,月,yuè,"moon, month",nguyệt,1,昨晚是满月。,zuówǎn shì mǎnyuè,Last night there was a full moon.,tối hôm qua là trăng tròn .
138,在,zài,"(located) at, (to be) in, to exist, in the middle of doing sth, (indicating an action in progress)",đang,1,他正在开会。,tā zhèngzài kāihuì,He is in conference.,hắn đang họp .
139,再见,zài jiàn,"goodbye, see you again later",còn gặp lại,1,再见了，很高兴见到你。,zàijiàn le hěn gāoxìng jiàndào nǐ,Good-bye. Nice seeing you.,"tạm biệt , vô cùng vui vẻ nhìn thấy ngươi ."
140,怎么,zěn me,variant of 怎麼|怎么[zěn me],sao,1,我怎么知道。,wǒ zěnme zhīdào,How should I know.,ta làm sao biết .
141,怎么样,zěn me yàng,"how?, how about?, how was it?, how are things?",thế nào,1,接着怎么样了?,jiēzhe zěnmeyàng le,What happened then?,tiếp lấy thế nào ?
142,这,zhè,"this, these, (commonly pr.  before a classifier, esp. in Beijing)",cái này,1,我这就上路。,wǒ zhè jiù shànglù,I'm on my way.,ta cái này liền lên đường .
143,中国,Zhōng guó,"China, Middle Kingdom",Trung Quốc,1,日本在中国的东面。,Rìběn zài Zhōngguó de dōngmiàn,Japan lies to the east of China.,Nhật Bản ở trung quốc phía đông .
144,中午,zhōng wǔ,"noon, midday",giữa trưa,1,我中午通常只吃点心.,wǒ zhōngwǔ tōngcháng zhǐ chī diǎnxin,Usually I only have a snack at lunchtime.,ta giữa trưa bình thường chỉ ăn điểm tâm .
145,住,zhù,"to live, to dwell, to stay, to reside, to stop, (suffix indicating firmness, steadiness, or coming to a halt)",ở,1,他住在学校的宿舍里。,tā zhù zài xuéxiào de sùshè lǐ,He hangs out in the school dormitory.,hắn ở tại trường học trong túc xá .
146,桌子,zhuō zi,"table, desk",cái bàn,1,他跳上了桌子。,tā tiào shàng le zhuōzi,He jumped onto the table.,hắn nhảy lên cái bàn .
147,字,zì,"letter, symbol, character, word",chữ,1,请原谅我的字写得不好。,qǐng yuánliàng wǒ de zì xiě dé bùhǎo,Please excuse my bad handwriting.,mời tha thứ cho ta chữ viết không được khá .
148,昨天,zuó tiān,yesterday,hôm qua,1,我昨天买了好几本书。,wǒ zuótiān mǎi le hǎojǐ běn shū,I bought several books yesterday.,ta hôm qua mua mấy quyển sách .
149,坐,zuò,"to sit, to take a seat, to take (a bus, airplane etc), to bear fruit, variant of 座[zuò]",ngồi,1,我坐在他旁边。,wǒ zuò zài tā pángbiān,I sat by his side.,ta ngồi ở bên cạnh hắn .
150,做,zuò,"to do, to make, to produce, to write, to compose, to act as, to engage in, to hold (a party), to be, to become, to function (in some capacity), to serve as, to be used for, to form (a bond or relationship), to pretend, to feign, to act a part, to put on appearance",làm,1,我的爱人很会做饭。,wǒ de àiren hěn huì zuòfàn,My wife is very useful at cooking.,người yêu của ta rất biết nấu cơm .
151,吧,ba,"(modal particle indicating suggestion or surmise), ...right?, ...OK?, ...I presume.",đi,2,也许下一次吧。,yěxǔ xiàyīcì ba,Maybe some other time.,biết đâu lần tiếp theo đi .
152,白,bái,"white, snowy, pure, bright, empty, blank, plain, clear, to make clear, in vain, gratuitous, free of charge, reactionary, anti-communist, funeral, to stare coldly, to write wrong character, to state, to explain, vernacular, spoken lines in opera",bạch,2,我不明白你的意思。,wǒ bù míngbai nǐ de yìsi,I can't apprehend your meaning.,ta không rõ ý của ngươi là .
153,百,bǎi,"hundred, numerous, all kinds of",trăm,2,春雨带来了夏日百花。,chūnyǔ dàilái le xiàrì bǎi huā,Spring rains bring summer flowers.,mưa xuân mang đến ngày mùa hè bách hoa .
154,帮助,bāng zhù,"assistance, aid, to help, to assist",giúp đỡ,2,我会尽一切可能帮助你。,wǒ huì jìn yīqiè kěnéng bāngzhù nǐ,I'll do everything possible to help you.,ta lại tận tất cả có thể giúp đỡ ngươi .
155,报纸,bào zhǐ,"newspaper, newsprint",báo chí,2,我从报纸上得知这个消息。,wǒ cóng bàozhǐ shàng dézhī zhège xiāoxi,I learned this news from the newspaper.,ta theo trên báo chí biết được tin tức này .
156,比,bǐ,"(particle used for comparison and '-er than'), to compare, to contrast, to gesture (with hands), ratio",so với,2,他比我大两岁。,tā bǐ wǒ dà liǎng suì,He is my senior by two years.,hắn lớn hơn ta hai tuổi .
157,别,bié,"to leave, to depart, to separate, to distinguish, to classify, other, another, do not, must not, to pin",đừng,2,大家别同时说.,dàjiā bié tóngshí shuō,Don't all speak at the same time.,mọi người đừng đồng thời nói .
158,长,cháng,"length, long, forever, always, constantly",dài,2,她有着细长的腿。,tā yǒuzhe xìcháng de tuǐ,She has long thin shanks.,nàng có dài nhỏ chân .
159,唱歌,chàng gē,to sing a song,ca hát,2,我喜欢唱歌，更不用说听音乐了。,wǒ xǐhuan chànggē gèng bùyòng shuō tīng yīnyuè le,"I enjoy singing, much more listening to music.","ta thích ca hát , lại càng không cần phải nói nghe âm nhạc ."
160,出,chū,"to go out, to come out, to occur, to produce, to go beyond, to rise, to put forth, to happen, classifier for dramas, plays, operas etc",ra,2,出现了新困难.,chūxiàn le xīn kùnnan,A new difficulty has arisen.,xuất hiện mới khó khăn .
161,穿,chuān,"to bore through, to pierce, to perforate, to penetrate, to pass through, to dress, to wear, to put on, to thread",mặc,2,她穿上袜子。,tā chuānshang wàzi,She draws on her socks.,nàng mặc vào bít tất .
162,船,chuán,"a boat, vessel, ship",thuyền,2,游船上的人们看上去很高兴。,yóu chuán shàng de rénmen kànshangqu hěn gāoxìng,People on the barge looked rather happy.,trên du thuyền mọi người nhìn qua vô cùng vui vẻ .
163,次,cì,"next in sequence, second, the second (day, time etc), secondary, vice-, sub-, infra-, inferior quality, substandard, order, sequence, hypo- (chemistry), classifier for enumerated events: time",lần,2,也许下一次吧。,yěxǔ xiàyīcì ba,Maybe some other time.,biết đâu lần tiếp theo đi .
164,从,cóng,"from, via, passing through, through (a gap), past, ever (followed by negative, meaning never), (formerly pr.  and related to 縱|纵) to follow, to comply with, to obey, to join, to engage in, adopting some mode of action or attitude, follower, retainer, accessory, accomplice, related by common paternal grandfather or earlier ancestor",theo,2,她从不穿绿色的衣服。,tā cóngbù chuān lǜsè de yīfu,She never wears green.,nàng cũng không mặc màu xanh lá trang phục .
165,错,cuò,"mistake, wrong, bad, interlocking, complex, to grind, to polish, to alternate, to stagger, to miss, to let slip, to evade, to inlay with gold or silver",sai,2,不是我的错。,bùshì wǒ de cuò,It's not my fault.,không phải lỗi của ta .
166,打篮球,dá lán qiú,Play basketball,chơi bóng rổ,2,我们既不将打篮球也不将打排球。,wǒmen jì bù jiāng dǎ lánqiú yě bù jiāng dǎ páiqiú,We are going to play neither basketball nor volleyball.,chúng ta cũng không đem chơi bóng rổ cũng không tướng đánh bóng chuyền .
167,大家,dà jiā,"everyone, influential family, great expert",mọi người,2,大家别同时说.,dàjiā bié tóngshí shuō,Don't all speak at the same time.,mọi người đừng đồng thời nói .
168,但是,dàn shì,"but, however",nhưng mà,2,嗯，但是你必须等我。,èn dànshì nǐ bìxū děng wǒ,"Mmm, but you must wait for me.","hửm , nhưng mà ngươi nhất định phải chờ ta ."
169,到,dào,"to (a place), until (a time), up to, to go, to arrive",đến,2,迟到总比不到好。,chídào zǒng bǐ bùdào hǎo,Better late than never.,đến trễ dù sao cũng so không đến hảo .
170,得,de,"structural particle: used after a verb (or adjective as main verb), linking it to following phrase indicating effect, degree, possibility etc",được,2,你干得很好。,nǐ gàn dehěn hǎo,You did a good job.,ngươi làm rất khá .
171,得,děi,"to have to, must, ought to, to need to",được,2,你干得很好。,nǐ gàn dehěn hǎo,You did a good job.,ngươi làm rất khá .
172,弟弟,dì di,younger brother,em trai,2,他长大了，穿剩下的衣服就给了他的弟弟。,tā zhǎngdà le chuān shèngxià de yīfu jiù gěi le tā de dìdi,As he grew up he passed on his clothes to his younger brother.,"hắn trưởng thành , mặc còn lại trang phục thì cho hắn em trai ."
173,第一,dì yī,"first, number one",thứ nhất,2,星期日是一周的第一天。,Xīngqīrì shì yīzhōu de dìyī tiān,Sunday is the first day of the week.,Chủ nhật là một tuần ngày thứ nhất .
174,懂,dǒng,"to understand, to know",hiểu,2,我只懂得一点法语。,wǒ zhǐ dǒngde yīdiǎn Fǎyǔ,I have only a limited understanding of French.,ta chỉ hiểu được một chút tiếng Pháp .
175,房间,fáng jiān,room,căn phòng,2,我想预定一个房间。,wǒ xiǎng yùdìng yī gè fángjiān,I want to reserve a room.,ta nghĩ dự định một cái phòng .
176,非常,fēi cháng,"unusual, extraordinary, extreme, very, exceptional",rất,2,我非常感谢您。,wǒ fēichánggǎnxiè nín,I'm extremely grateful to you.,ta rất cảm ơn ngài .
177,服务员,fú wù yuán,"waiter, waitress, attendant, customer service personnel",phục vụ viên,2,她是饭店的女服务员。,tā shì fàndiàn de nǚ fúwùyuán,She is a waitress in a restaurant.,nàng là tiệm cơm nữ phục vụ viên .
178,高,gāo,"high, tall, above average, loud, your (honorific)",cao,2,他唱最高音部。,tā chàng zuì gāoyīnbù,He sings treble.,hắn hát tối cao âm bẫu .
179,告诉,gào su,"to tell, to inform, to let know",nói cho,2,他笑着告诉我这个消息。,tā xiào zhe gàosu wǒ zhège xiāoxi,He told me the news with a laugh.,hắn cười nói cho ta biết tin tức này .
180,哥哥,gē ge,older brother,ca ca,2,这个小男孩跑去找他的哥哥。,zhège xiǎo nánhái pǎo qù zhǎo tā de gēge,The little boy ran off to get his brother.,cái này cậu bé chạy đi tìm ca ca của hắn .
181,给,gěi,"to, for, for the benefit of, to give, to allow, to do sth (for sb), (passive particle)",cho,2,把这本书给她。,bǎ zhè běn shū gěi tā,Give her the book.,đem quyển sách này cho nàng .
182,公共汽车,gōng gòng qì chē,bus,xe công cộng,2,今天早晨我起床晚了，错过了公共汽车。,jīntiān zǎochén wǒ qǐchuáng wǎn le cuòguò le gōnggòngqìchē,I got up late this morning and missed the bus.,"sáng sớm hôm nay ta rời giường muộn , bỏ qua xe công cộng ."
183,公斤,gōng jīn,kilogram (kg),công cân,2,二十市斤折合十公斤。,èrshí shìjīn zhéhé shí gōngjīn,20 jin goes to 10 kilograms.,hai mươi thành phố cân tương đương mười công cân .
184,公司,gōng sī,"(business) company, company, firm, corporation, incorporated",công ty,2,请给我们公司寄一份详细的简历。,qǐng gěi wǒmen gōngsī jì yī fèn xiángxì de jiǎnlì,Please send a detailed resume to our company.,mời cho ta nhóm công ty gửi một phần kỹ càng sơ yếu lý lịch .
185,贵,guì,"expensive, noble, your (name), precious",quý,2,真正的友谊比金钱更宝贵。,zhēnzhèng de yǒuyì bǐ jīnqián gèng bǎoguì,Real friendship is more valuable than money.,chân chính hữu nghị so với tiền tài càng quý giá .
186,还,hái,"still, still in progress, still more, yet, even more, in addition, fairly, passably (good), as early as, even, also, else",còn,2,还好我们没有跟着他。,háihǎo wǒmen méiyǒu gēnzhe tā,It is just as well that we did not follow him.,may mà ta nhóm không cùng trông hắn .
187,孩子,hái zi,child,đứa nhỏ,2,那孩子将满六岁了。,nà háizi jiāng mǎn liù suì le,The child will be six.,vậy đứa nhỏ đem đầy sáu tuổi .
188,好吃,hǎo chī,"tasty, delicious",ăn ngon,2,这种菜好吃不好做.,zhèzhǒng cài hǎochī bùhǎo zuò,This dish is delicious but rather a trouble to prepare.,kiểu này rau ăn có không ngon hay không làm .
189,号,hào,"ordinal number, day of a month, mark, sign, business establishment, size, ship suffix, horn (wind instrument), bugle call, assumed name, to take a pulse, classifier used to indicate number of people",hào,2,这辆汽车亮起了危险信号灯。,zhè liàng qìchē liàng qǐ le wēixiǎn xìnhàodēng,The car had its hazard warning lights on.,chiếc xe này sáng lên nguy hiểm đèn tín hiệu .
190,黑,hēi,"black, dark, (loanword) to hack",đen,2,她总穿着黑衣服。,tā zǒng chuānzhuó hēi yīfu,She always dresses in black.,nàng vẫn mặc áo đen phục .
191,红,hóng,"red, popular, revolutionary, bonus",đỏ,2,他发烧满脸通红.,tā fāshāo mǎnliǎn tōnghóng,Fever flushed his cheeks.,hắn phát sốt đỏ bừng cả khuôn mặt .
192,欢迎,huān yíng,"to welcome, welcome",chào mừng,2,欢迎你随时到我们家。,huānyíng nǐ suíshí dào wǒmen jiā,You are always welcome to our house.,chào mừng ngươi tùy thời đến nhà chúng ta .
193,还,huán,"to pay back, to return",còn,2,还好我们没有跟着他。,háihǎo wǒmen méiyǒu gēnzhe tā,It is just as well that we did not follow him.,may mà ta nhóm không cùng trông hắn .
194,回答,huí dá,"to reply, to answer, the answer",trả lời,2,他没有给我回答他问题的机会。,tā méiyǒu gěi wǒ huídá tā wèntí de jīhuì,He gave me no chance to reply to his question.,hắn không có cho ta trả lời hắn vấn đề cơ hội .
195,机场,jī chǎng,"airport, airfield",sân bay,2,一架飞机在机场着陆。,yī jià fēijī zài jīchǎng zhuólù,An airplane alighted on the airdrome.,một khung máy bay ở phi trường chạm đất .
